FirstNight,Tasa_PickUP,Reservaciones_Libros_2018,Reservaciones_PickUp_2018,TasaNoShow,TasaCancelación,Reservaciones_Libros_2019,Estancia_Promedio
25/08/2017,0.724196277,1182,856,0.054145516,0.104060914,,5.5151764
21/10/2017,0.592909535,1636,970,0.086185819,0.138141809,,6.9010322
18/08/2017,0.776847978,1434,1114,0.023012552,0.088563459,,6.0892244
21/05/2017,0.15323993,1142,175,0.030647986,0.091068301,,6.4028021
23/06/2017,0.3408962,1763,601,0.037436188,0.11401021,,6.2651007
01/07/2017,0.292344498,2090,611,0.055502392,0.127751196,,6.6795606
31/12/2017,0.651474531,1492,972,0.035522788,0.091823056,,10.181639
02/11/2017,0.92,600,552,0.048333333,0.103333333,,3.5828025
07/05/2017,0.047619048,1197,57,0.029239766,0.102756892,,6.4291667
29/10/2017,0.761032473,1201,914,0.038301415,0.099084097,,6.598842
18/06/2017,0.304131054,1404,427,0.033475783,0.083333333,,6.4392324
01/08/2017,0.91509434,212,194,0.04245283,0.033018868,,5.5942623
13/12/2017,0.935714286,140,131,0.092857143,0.092857143,,4.8850575
29/07/2017,0.647604328,1941,1257,0.035548686,0.080370943,,6.6868273
19/08/2017,0.675819985,1311,886,0.070175439,0.102974828,,6.4893939
12/12/2017,0.923664122,131,121,0.129770992,0.114503817,,4.6807229
24/06/2017,0.266329114,1975,526,0.077468354,0.115949367,,6.7086059
15/10/2017,0.735387885,941,692,0.053134963,0.116896918,,6.696068
13/05/2017,0.102668213,1724,177,0.0887471,0.121809745,,6.3487298
27/01/2018,0.713965227,1783,1273,0.029725182,0.117779024,,7.2621951
20/01/2018,0.709359606,1827,1296,0.027367269,0.100711549,,8.135722
30/12/2017,0.740127389,2355,1743,0.054352442,0.110828025,,6.7682776
23/12/2017,0.581767293,2501,1455,0.053578569,0.133946421,,6.9638602
24/12/2017,0.58217941,1661,967,0.021673691,0.103552077,,6.4816817
10/02/2018,0.718797759,1963,1411,0.026490066,0.128374936,,7.7743408
03/02/2018,0.690192484,2182,1506,0.029330889,0.098991751,,8.1851345
29/05/2017,0.303370787,356,108,0.030898876,0.073033708,,6.4305177
24/02/2018,0.741744702,2029,1505,0.022178413,0.117299162,,7.1822179
22/12/2017,0.693143813,2392,1658,0.017976589,0.130434783,,6.9689441
08/09/2017,0.746961326,905,676,0.075138122,0.13038674,,5.8869565
25/12/2017,0.71977507,1067,768,0.015932521,0.121836926,,6.5388941
18/02/2018,0.844767845,1443,1219,0.026334026,0.126819127,,7.0027586
21/01/2018,0.84367988,1337,1128,0.025430067,0.104712042,,7.3283582
30/06/2017,0.40371517,1615,652,0.036532508,0.097213622,,6.3227578
25/11/2017,0.705134992,1889,1332,0.055584966,0.112228692,,6.6180957
28/01/2018,0.839339339,1332,1118,0.021021021,0.098348348,,7.1687922
07/10/2017,0.551766894,1613,890,0.094234346,0.124612523,,6.6906519
09/12/2017,0.758337609,1949,1478,0.112365316,0.124166239,,6.6685279
30/07/2017,0.753584705,1883,1419,0.018056293,0.062134891,,6.3978836
01/06/2017,0.478571429,280,134,0.028571429,0.085714286,,5.2422145
25/06/2017,0.28639745,1882,539,0.020191286,0.061105207,,6.4723992
03/12/2017,0.624312767,1637,1022,0.034208919,0.227855834,,6.1746513
28/07/2017,0.619598296,1643,1018,0.020693853,0.066342057,,6.4433174
11/06/2017,0.287439614,1242,357,0.02979066,0.065217391,,6.472
08/07/2017,0.351058592,2031,713,0.05760709,0.108321024,,6.662096
08/01/2018,0.8403452,927,779,0.021574973,0.275080906,,7.1331269
15/09/2017,0.757532281,1394,1056,0.068866571,0.134863702,,5.0788913
01/01/2018,0.746867168,1197,894,0.009189641,0.118629908,,10.136174
27/05/2017,0.110224439,2005,221,0.107730673,0.126683292,,6.5395326
05/05/2017,0.079104478,2010,159,0.022885572,0.074626866,,6.015748
26/05/2017,0.288218794,1426,411,0.037868163,0.116409537,,5.6426593
26/01/2018,0.800317797,1888,1511,0.028072034,0.152542373,,6.9171443
14/05/2017,0.134234234,1110,149,0.024324324,0.072972973,,6.5229111
11/11/2017,0.601310248,2137,1285,0.064108563,0.135704258,,6.7798976
